arrival_datetime,weekday,operation_id,service_time_min,branch_id
2025-06-02 09:01,Пн,OP04,25.1,BR01
2025-06-02 09:02,Пн,OP03,17.1,BR01
2025-06-02 09:05,Пн,OP01,4.7,BR01
2025-06-02 09:05,Пн,OP02,8.3,BR01
2025-06-02 09:05,Пн,OP03,23.0,BR01
2025-06-02 09:06,Пн,OP03,17.7,BR01
2025-06-02 09:06,Пн,OP02,5.0,BR01
2025-06-02 09:10,Пн,OP02,11.6,BR01
2025-06-02 09:12,Пн,OP04,20.0,BR01
2025-06-02 09:13,Пн,OP03,12.7,BR01
2025-06-02 09:14,Пн,OP02,8.9,BR01
2025-06-02 09:16,Пн,OP04,30.7,BR01
2025-06-02 09:32,Пн,OP03,8.0,BR01
2025-06-02 09:44,Пн,OP03,12.0,BR01
2025-06-02 09:44,Пн,OP02,9.6,BR01
2025-06-02 09:46,Пн,OP02,14.8,BR01
2025-06-02 09:48,Пн,OP04,40.9,BR01
2025-06-02 09:48,Пн,OP02,12.1,BR01
2025-06-02 09:53,Пн,OP03,18.6,BR01
2025-06-02 09:54,Пн,OP01,2.0,BR01
2025-06-02 09:57,Пн,OP03,13.9,BR01
2025-06-02 10:04,Пн,OP03,8.0,BR01
2025-06-02 10:04,Пн,OP01,3.1,BR01
2025-06-02 10:08,Пн,OP02,10.8,BR01
2025-06-02 10:10,Пн,OP03,15.2,BR01
2025-06-02 10:14,Пн,OP04,27.7,BR01
2025-06-02 10:14,Пн,OP06,40.9,BR01
2025-06-02 10:17,Пн,OP06,66.7,BR01
2025-06-02 10:25,Пн,OP05,53.4,BR01
2025-06-02 10:35,Пн,OP03,18.7,BR01
2025-06-02 10:36,Пн,OP05,34.2,BR01
2025-06-02 10:40,Пн,OP04,26.3,BR01
2025-06-02 10:41,Пн,OP02,9.8,BR01
2025-06-02 10:47,Пн,OP03,19.0,BR01
2025-06-02 10:49,Пн,OP04,32.0,BR01
2025-06-02 11:00,Пн,OP03,13.2,BR01
2025-06-02 11:07,Пн,OP01,5.3,BR01
2025-06-02 11:07,Пн,OP03,11.2,BR01
2025-06-02 11:10,Пн,OP04,22.4,BR01
2025-06-02 11:10,Пн,OP03,19.6,BR01
2025-06-02 11:15,Пн,OP01,4.7,BR01
2025-06-02 11:18,Пн,OP02,5.0,BR01
2025-06-02 11:24,Пн,OP03,15.9,BR01
2025-06-02 11:29,Пн,OP03,24.8,BR01
2025-06-02 11:31,Пн,OP01,3.7,BR01
2025-06-02 11:32,Пн,OP04,21.2,BR01
2025-06-02 11:40,Пн,OP01,5.0,BR01
2025-06-02 11:40,Пн,OP02,10.9,BR01
2025-06-02 11:41,Пн,OP02,9.5,BR01
2025-06-02 11:49,Пн,OP05,51.8,BR01
2025-06-02 11:52,Пн,OP01,6.5,BR01
2025-06-02 11:56,Пн,OP04,30.7,BR01
2025-06-02 11:56,Пн,OP03,22.1,BR01
2025-06-02 11:59,Пн,OP02,15.4,BR01
2025-06-02 12:04,Пн,OP05,42.4,BR01
2025-06-02 12:06,Пн,OP03,12.0,BR01
2025-06-02 12:12,Пн,OP01,3.0,BR01
2025-06-02 12:15,Пн,OP01,4.4,BR01
2025-06-02 12:15,Пн,OP04,26.8,BR01
2025-06-02 12:17,Пн,OP02,11.0,BR01
2025-06-02 12:21,Пн,OP01,6.0,BR01
2025-06-02 12:22,Пн,OP02,5.3,BR01
2025-06-02 12:31,Пн,OP01,8.2,BR01
2025-06-02 12:33,Пн,OP05,33.9,BR01
2025-06-02 12:34,Пн,OP04,27.6,BR01
2025-06-02 12:35,Пн,OP01,7.1,BR01
2025-06-02 12:35,Пн,OP01,5.1,BR01
2025-06-02 12:36,Пн,OP03,23.6,BR01
2025-06-02 12:40,Пн,OP01,5.8,BR01
2025-06-02 12:41,Пн,OP02,19.1,BR01
2025-06-02 12:41,Пн,OP01,3.5,BR01
2025-06-02 12:43,Пн,OP03,16.7,BR01
2025-06-02 12:44,Пн,OP01,2.5,BR01
2025-06-02 12:48,Пн,OP03,20.2,BR01
2025-06-02 12:55,Пн,OP01,6.0,BR01
2025-06-02 12:57,Пн,OP02,11.6,BR01
2025-06-02 13:10,Пн,OP02,12.3,BR01
2025-06-02 13:15,Пн,OP01,3.6,BR01
2025-06-02 13:18,Пн,OP02,19.5,BR01
2025-06-02 13:25,Пн,OP05,40.6,BR01
2025-06-02 13:35,Пн,OP01,6.4,BR01
2025-06-02 13:35,Пн,OP03,10.7,BR01
2025-06-02 13:41,Пн,OP06,70.3,BR01
2025-06-02 13:50,Пн,OP04,24.4,BR01
2025-06-02 13:55,Пн,OP05,21.4,BR01
2025-06-02 13:59,Пн,OP04,10.0,BR01
2025-06-02 14:03,Пн,OP04,34.9,BR01
2025-06-02 14:04,Пн,OP03,15.2,BR01
2025-06-02 14:11,Пн,OP01,4.8,BR01
