weekday,hour,lambda_hat,var_hat,n_weeks,dispersion_index
Пн,9,11.0,31.333333333333332,4,2.848484848484848
Пн,10,11.5,4.333333333333335,4,0.37681159420289867
Пн,11,14.25,0.9166666666666666,4,0.06432748538011696
Пн,12,12.0,44.666666666666664,4,3.722222222222222
Пн,13,11.0,13.333333333333334,4,1.2121212121212122
Пн,14,5.5,9.0,4,1.6363636363636365
Пн,15,6.25,7.583333333333333,4,1.2133333333333334
Пн,16,13.25,16.250000000000004,4,1.2264150943396228
Пн,17,11.0,12.666666666666666,4,1.1515151515151514
Пн,18,5.25,6.25,4,1.1904761904761905
Вт,9,9.0,3.3333333333333335,4,0.3703703703703704
Вт,10,7.5,3.0000000000000004,4,0.4000000000000001
Вт,11,10.0,18.0,4,1.8
Вт,12,5.5,9.666666666666666,4,1.7575757575757576
Вт,13,6.0,3.3333333333333335,4,0.5555555555555556
Вт,14,3.75,2.25,4,0.6
Вт,15,7.0,10.000000000000002,4,1.4285714285714288
Вт,16,10.75,4.25,4,0.3953488372093023
Вт,17,9.25,16.916666666666668,4,1.828828828828829
Вт,18,4.25,4.916666666666667,4,1.1568627450980393
Ср,9,5.75,4.916666666666667,4,0.855072463768116
Ср,10,9.0,8.666666666666666,4,0.9629629629629629
Ср,11,9.75,4.250000000000001,4,0.435897435897436
Ср,12,8.5,3.0000000000000013,4,0.35294117647058837
Ср,13,7.5,4.333333333333333,4,0.5777777777777777
Ср,14,6.75,4.916666666666667,4,0.7283950617283951
Ср,15,4.25,0.916666666666667,4,0.215686274509804
Ср,16,9.0,4.666666666666667,4,0.5185185185185186
Ср,17,6.5,21.666666666666668,4,3.3333333333333335
Ср,18,5.0,0.0,4,0.0
Чт,9,9.75,20.916666666666668,4,2.1452991452991452
Чт,10,7.75,24.916666666666668,4,3.2150537634408605
Чт,11,9.75,24.916666666666668,4,2.555555555555556
Чт,12,9.5,3.6666666666666665,4,0.38596491228070173
Чт,13,5.75,3.583333333333334,4,0.6231884057971016
Чт,14,4.75,3.583333333333334,4,0.7543859649122808
Чт,15,5.5,9.0,4,1.6363636363636365
Чт,16,7.25,8.25,4,1.1379310344827587
Чт,17,9.5,13.666666666666666,4,1.4385964912280702
Чт,18,6.0,27.333333333333332,4,4.555555555555555
Пт,9,9.25,6.25,4,0.6756756756756757
Пт,10,7.75,23.583333333333332,4,3.043010752688172
Пт,11,7.25,16.25,4,2.2413793103448274
Пт,12,7.5,3.0000000000000004,4,0.4000000000000001
Пт,13,7.75,2.9166666666666665,4,0.3763440860215054
Пт,14,5.0,2.6666666666666665,4,0.5333333333333333
Пт,15,6.25,3.583333333333334,4,0.5733333333333335
Пт,16,11.5,1.6666666666666667,4,0.14492753623188406
Пт,17,8.75,8.250000000000002,4,0.9428571428571431
Пт,18,6.0,10.666666666666666,4,1.7777777777777777
Сб,9,6.75,0.25,4,0.037037037037037035
Сб,10,7.5,11.666666666666666,4,1.5555555555555556
Сб,11,5.75,1.583333333333333,4,0.27536231884057966
Сб,12,7.5,13.666666666666666,4,1.8222222222222222
Сб,13,3.6666666666666665,6.333333333333333,3,1.7272727272727273
Сб,14,4.25,0.25000000000000006,4,0.05882352941176472
Сб,15,4.75,6.249999999999999,4,1.3157894736842104
