weekday,hour,lambda_hat,var_hat,dispersion_index
Пн,9,41.5,39.0,0.9397590361445783
Пн,10,41.0,34.666666666666664,0.8455284552845528
Пн,11,41.75,30.25,0.7245508982035929
Пн,12,36.0,24.666666666666657,0.6851851851851849
Пн,13,33.75,76.25000000000001,2.2592592592592595
Пн,14,18.25,4.916666666666667,0.26940639269406397
Пн,15,26.0,28.000000000000004,1.076923076923077
Пн,16,40.0,18.000000000000004,0.45000000000000007
Пн,17,43.25,96.25,2.2254335260115607
Пн,18,19.5,33.666666666666664,1.7264957264957264
Вт,9,32.5,6.999999999999997,0.2153846153846153
Вт,10,32.0,20.666666666666675,0.6458333333333336
Вт,11,37.25,14.25,0.3825503355704698
Вт,12,29.5,4.333333333333331,0.14689265536723156
Вт,13,25.0,16.666666666666668,0.6666666666666667
Вт,14,13.75,16.25,1.1818181818181819
Вт,15,24.0,24.666666666666668,1.027777777777778
Вт,16,38.0,78.0,2.0526315789473686
Вт,17,33.25,29.583333333333343,0.8897243107769427
Вт,18,22.0,13.333333333333334,0.6060606060606061
Ср,9,32.75,4.25,0.1297709923664122
Ср,10,30.75,30.916666666666668,1.005420054200542
Ср,11,32.75,0.24999999999999942,0.007633587786259524
Ср,12,31.25,114.25,3.656
Ср,13,25.25,14.916666666666666,0.5907590759075907
Ср,14,19.5,21.666666666666668,1.1111111111111112
Ср,15,18.5,7.0,0.3783783783783784
Ср,16,33.0,48.666666666666664,1.4747474747474747
Ср,17,31.0,68.66666666666667,2.2150537634408605
Ср,18,21.0,42.00000000000001,2.0000000000000004
Чт,9,32.75,20.250000000000004,0.618320610687023
Чт,10,33.0,78.0,2.3636363636363638
Чт,11,27.75,28.91666666666667,1.0420420420420422
Чт,12,31.0,92.66666666666667,2.989247311827957
Чт,13,23.0,21.333333333333332,0.9275362318840579
Чт,14,15.5,21.666666666666668,1.3978494623655915
Чт,15,18.25,18.250000000000004,1.0000000000000002
Чт,16,28.75,23.58333333333333,0.8202898550724637
Чт,17,32.5,67.66666666666667,2.082051282051282
Чт,18,19.5,31.000000000000004,1.5897435897435899
Пт,9,31.0,2.0000000000000004,0.06451612903225808
Пт,10,30.0,60.0,2.0
Пт,11,36.25,67.58333333333333,1.864367816091954
Пт,12,30.0,28.666666666666668,0.9555555555555556
Пт,13,26.5,9.66666666666667,0.36477987421383656
Пт,14,17.75,14.25,0.8028169014084507
Пт,15,24.0,7.333333333333332,0.3055555555555555
Пт,16,39.25,88.25000000000001,2.248407643312102
Пт,17,32.75,43.583333333333336,1.330788804071247
Пт,18,23.5,8.333333333333334,0.3546099290780142
Сб,9,27.25,24.916666666666668,0.9143730886850153
Сб,10,29.75,78.25,2.630252100840336
Сб,11,18.25,14.25,0.7808219178082192
Сб,12,23.75,18.916666666666668,0.7964912280701755
Сб,13,14.5,9.666666666666668,0.6666666666666667
Сб,14,13.5,3.0000000000000013,0.22222222222222232
Сб,15,14.75,23.58333333333333,1.5988700564971747
